month,gini_index,arp,aplt
1,0.7204529370134466,0.3045121325015567,0.3605095541401269
2,0.7279898218829517,0.30386196692548423,0.37824427480916034
3,0.6992715482757169,0.30201612533365124,0.25026737967914453
4,0.7562320032908268,0.31341943295328417,0.2968325791855202
5,0.6955797933409874,0.3011309445271709,0.36813186813186793
6,0.7236714529756683,0.30385695257625256,0.258659217877095
7,0.7155167047105209,0.2861407923965922,0.3926229508196721
